Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Gneiss Dreams","The Thorny Boulder > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116842602/gneiss-dreams,1.0,-1,Boulder,V1-2,1,,40.05817,-75.21897
"Crown of Thorns","The Thorny Boulder > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/121166783/crown-of-thorns,3.0,-1,Boulder,V2,1,,40.05817,-75.21897
Garnet,"Orange Trail Upper Boulders > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/118158510/garnet,2.5,-1,Boulder,V0,1,,40.05914,-75.21982
"Aladdin Vein","Orange Trail Upper Boulders > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116842686/aladdin-vein,1.0,-1,Boulder,V1,1,,40.05914,-75.21982
"Quartz Crimp Traverse","Orange Trail Lower Boulders > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/118158860/quartz-crimp-traverse,1.0,-1,Boulder,V0,1,,40.05805,-75.21934
"Pumpers Better Than Tumblers","Orange Trail Lower Boulders > Valley Green > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/118158918/pumpers-better-than-tumblers,3.0,-1,Boulder,V1+,1,,40.05805,-75.21934
"Sunday Stroll","Rittenhouse Boulders > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/117648473/sunday-stroll,1.7,-1,Boulder,V0+,1,,40.02806,-75.19097
"A Walk In the Park","Rittenhouse Boulders > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/117648346/a-walk-in-the-park,2.3,-1,Boulder,V0+,1,,40.02806,-75.19097
Unnamed,"Rittenhouse Boulders > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/117648727/unnamed,2.0,-1,Boulder,V1,1,,40.02806,-75.19097
Unnamed,"Rittenhouse Boulders > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/117648780/unnamed,2.0,-1,Boulder,V1+,1,,40.02806,-75.19097
Limerence,"Rittenhouse Boulders > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119219378/limerence,3.3,-1,Boulder,V2,1,,40.02806,-75.19097
"Light of My Life","The Loners > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/117000046/light-of-my-life,1.0,-1,Boulder,V0-,1,,40.06794,-75.22233
"Short 'n Sour","The Loners > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120747850/short-n-sour,2.0,-1,Boulder,V0+,1,,40.06794,-75.22233
"Saucer Traverse","The Loners > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/116999681/saucer-traverse,3.0,-1,Boulder,V2,1,,40.06794,-75.22233
"Unnamed Left","The Nose > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/117678763/unnamed-left,2.0,-1,Boulder,V1-,1,9,40.01834,-75.20298
"The Nose Right","The Nose > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/117678903/the-nose-right,3.0,-1,Boulder,V4-5,1,11,40.01834,-75.20298
"Moon Pool","The Cleaver Boulder > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119291453/moon-pool,1.0,-1,Boulder,V-easy,1,,40.06249,-75.22188
"The Cleaver","The Cleaver Boulder > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/118325067/the-cleaver,2.0,-1,Boulder,V-easy,1,12,40.06249,-75.22188
"Deepest Bluest","The Cleaver Boulder > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119291586/deepest-bluest,2.0,-1,Boulder,V-easy,1,,40.06249,-75.22188
"My Hat Is Like A Shark's Fin","The Cleaver Boulder > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119291594/my-hat-is-like-a-sharks-fin,2.0,-1,Boulder,V-easy,1,,40.06249,-75.22188
Tsunami,"The Cleaver Boulder > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119100448/tsunami,1.0,-1,Boulder,V1+,1,,40.06249,-75.22188
Delicatessen,"The Cleaver Boulder > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120395146/delicatessen,3.0,-1,Boulder,V3,1,,40.06249,-75.22188
"A Monkey in the Park?","The Plank > Creek Side Boulders > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/118693704/a-monkey-in-the-park,2.0,-1,Boulder,V0+,1,18,40.02748,-75.19702
"Social distance","Cresheim Creek > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/118738170/social-distance,3.0,-1,Boulder,V0-1,1,15,40.05376,-75.20847
"Cresheim Pinch","Cresheim Creek > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/120401195/cresheim-pinch,3.0,-1,Boulder,V1,1,,40.05376,-75.20847
Requiescence,"McCallum Boulders > Cresheim Valley > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119211008/requiescence,1.0,-1,Boulder,V-easy,1,,40.0539,-75.20532
Tranquility,"McCallum Boulders > Cresheim Valley > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119210980/tranquility,1.0,-1,Boulder,V-easy,1,,40.0539,-75.20532
"Mola Mola","McCallum Boulders > Cresheim Valley > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119210579/mola-mola,2.0,-1,Boulder,V1,1,,40.0539,-75.20532
"Resurrect Dead","McCallum Boulders > Cresheim Valley > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119210778/resurrect-dead,3.0,-1,Boulder,V1+,1,,40.0539,-75.20532
"Second Wave","McCallum Boulders > Cresheim Valley > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119210927/second-wave,3.0,-1,Boulder,V2,1,,40.0539,-75.20532
"Luther's Alley","McCallum Boulders > Cresheim Valley > Wissahickon Valley Park > Philly > Southeastern Lowlands > Pennsylvania",https://www.mountainproject.com/route/119210649/luthers-alley,2.0,-1,Boulder,V2+,1,,40.0539,-75.20532
